No.,Mid(100),Topic-M,T1,Topic-1,T2,Topic-2,T3,Topic-3,T4,Topic-4,T5,Topic-5,Tut (80),PCT (180),Comp(45),Comp(75),Comp(120),CT(300)
175,69,"K&K 2,3,4,6",12,"K&K 2,3",15,K&K 4,11,K&K 6,5,"A.P F 3,4",8,A.P F 5,62,131,17,11,28,159
176,34,"K&K 2,3,4,6",6,"K&K 2,3",8,K&K 4,5,K&K 6,15,"A.P F 3,4",11,A.P F 5,54,88,21,7,28,116
177,21,"K&K 2,3,4,6",6,"K&K 2,3",3,K&K 4,4,K&K 6,3,"A.P F 3,4",0,A.P F 5,22,43,16,3,19,62
178,23,"K&K 2,3,4,6",0,"K&K 2,3",4,K&K 4,13,K&K 6,3,"A.P F 3,4",5,A.P F 5,34,57,3,0,3,60
179,18,"K&K 2,3,4,6",0,"K&K 2,3",4,K&K 4,0,K&K 6,6,"A.P F 3,4",15,A.P F 5,34,52,7,3,10,62
180,18,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,0,K&K 6,15,"A.P F 3,4",12,A.P F 5,76,94,10,10,20,114
181,0,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,0,0,0,0,0,0
182,43,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,0,K&K 6,0,"A.P F 3,4",13,A.P F 5,38,81,25,23,48,129
183,6,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,0,K&K 6,4,"A.P F 3,4",0,A.P F 5,26,32,5,0,5,37
184,13,"K&K 2,3,4,6",9,"K&K 2,3",15,K&K 4,0,K&K 6,0,"A.P F 3,4",10,A.P F 5,46,59,10,0,10,69
185,0,"K&K 2,3,4,6",0,"K&K 2,3",5,K&K 4,0,K&K 6,11,"A.P F 3,4",0,A.P F 5,22,22,3,1,4,26
186,14,"K&K 2,3,4,6",1,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,1,15,0,0,0,15
187,56,"K&K 2,3,4,6",12,"K&K 2,3",8,K&K 4,5,K&K 6,15,"A.P F 3,4",5,A.P F 5,54,110,15,22,37,147
188,11,"K&K 2,3,4,6",12,"K&K 2,3",10,K&K 4,10,K&K 6,1,"A.P F 3,4",11,A.P F 5,58,69,18,0,18,87
189,8,"K&K 2,3,4,6",8,"K&K 2,3",0,K&K 4,5,K&K 6,0,"A.P F 3,4",3,A.P F 5,22,30,3,4,7,37
190,48,"K&K 2,3,4,6",9,"K&K 2,3",15,K&K 4,6,K&K 6,15,"A.P F 3,4",2,A.P F 5,60,108,12,3,15,123
191,46,"K&K 2,3,4,6",6,"K&K 2,3",15,K&K 4,9,K&K 6,15,"A.P F 3,4",15,A.P F 5,72,118,24,16,40,158
192,52,"K&K 2,3,4,6",13,"K&K 2,3",11,K&K 4,14,K&K 6,0,"A.P F 3,4",11,A.P F 5,66,118,29,8,37,155
193,15,"K&K 2,3,4,6",14,"K&K 2,3",,K&K 4,15,K&K 6,5,"A.P F 3,4",15,A.P F 5,59,74,3,2,5,79
194,19,"K&K 2,3,4,6",0,"K&K 2,3",2,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,3,22,8,2,10,32
195,32,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,5,K&K 6,15,"A.P F 3,4",15,A.P F 5,67,99,10,6,16,115
196,12,"K&K 2,3,4,6",13,"K&K 2,3",3,K&K 4,6,K&K 6,13,"A.P F 3,4",15,A.P F 5,63,75,16,19,35,110
197,29,"K&K 2,3,4,6",12,"K&K 2,3",15,K&K 4,13,K&K 6,13,"A.P F 3,4",13,A.P F 5,72,101,22,7,29,130
198,1,"K&K 2,3,4,6",2,"K&K 2,3",11,K&K 4,0,K&K 6,7,"A.P F 3,4",15,A.P F 5,47,48,9,0,9,57
199,24,"K&K 2,3,4,6",1,"K&K 2,3",8,K&K 4,4,K&K 6,1,"A.P F 3,4",0,A.P F 5,19,43,3,0,3,46
200,36,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,10,K&K 6,10,"A.P F 3,4",13,A.P F 5,64,100,13,6,19,119
201,9,"K&K 2,3,4,6",0,"K&K 2,3",10,K&K 4,7,K&K 6,10,"A.P F 3,4",4,A.P F 5,42,51,0,0,0,51
202,18,"K&K 2,3,4,6",4,"K&K 2,3",2,K&K 4,12,K&K 6,5,"A.P F 3,4",10,A.P F 5,42,60,5,2,7,67
203,34,"K&K 2,3,4,6",13,"K&K 2,3",15,K&K 4,15,K&K 6,4,"A.P F 3,4",12,A.P F 5,74,108,12,11,23,131
204,62,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,5,K&K 6,1,"A.P F 3,4",0,A.P F 5,8,70,21,7,28,98
205,15,"K&K 2,3,4,6",6,"K&K 2,3",0,K&K 4,0,K&K 6,1,"A.P F 3,4",0,A.P F 5,10,25,6,0,6,31
206,13,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,2,K&K 6,4,"A.P F 3,4",12,A.P F 5,44,57,15,8,23,80
207,7,"K&K 2,3,4,6",7,"K&K 2,3",5,K&K 4,0,K&K 6,4,"A.P F 3,4",1,A.P F 5,23,30,3,1,4,34
208,50,"K&K 2,3,4,6",12,"K&K 2,3",15,K&K 4,8,K&K 6,2,"A.P F 3,4",14,A.P F 5,66,116,18,8,26,142
209,11,"K&K 2,3,4,6",2,"K&K 2,3",2,K&K 4,1,K&K 6,5,"A.P F 3,4",11,A.P F 5,27,38,16,7,23,61
210,23,"K&K 2,3,4,6",2,"K&K 2,3",3,K&K 4,5,K&K 6,11,"A.P F 3,4",7,A.P F 5,35,58,4,5,9,67
211,48,"K&K 2,3,4,6",6,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",12,A.P F 5,76,124,12,7,19,143
212,8,"K&K 2,3,4,6",7,"K&K 2,3",12,K&K 4,3,K&K 6,3,"A.P F 3,4",4,A.P F 5,35,43,0,2,2,45
213,71,"K&K 2,3,4,6",15,"K&K 2,3",14,K&K 4,7,K&K 6,15,"A.P F 3,4",9,A.P F 5,71,142,22,17,39,181
214,71,"K&K 2,3,4,6",9,"K&K 2,3",15,K&K 4,15,K&K 6,4,"A.P F 3,4",6,A.P F 5,60,131,22,29,51,182
215,36,"K&K 2,3,4,6",3,"K&K 2,3",8,K&K 4,1,K&K 6,9,"A.P F 3,4",11,A.P F 5,42,78,6,12,18,96
216,30,"K&K 2,3,4,6",5,"K&K 2,3",15,K&K 4,4,K&K 6,7,"A.P F 3,4",4,A.P F 5,42,72,8,2,10,82
217,11,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,2,K&K 6,4,"A.P F 3,4",12,A.P F 5,62,73,17,3,20,93
218,72,"K&K 2,3,4,6",7,"K&K 2,3",15,K&K 4,14,K&K 6,6,"A.P F 3,4",3,A.P F 5,56,128,22,13,35,163
219,38,"K&K 2,3,4,6",1,"K&K 2,3",15,K&K 4,0,K&K 6,0,"A.P F 3,4",12,A.P F 5,38,76,8,10,18,94
220,2,"K&K 2,3,4,6",2,"K&K 2,3",3,K&K 4,3,K&K 6,3,"A.P F 3,4",15,A.P F 5,32,34,6,0,6,40
221,37,"K&K 2,3,4,6",14,"K&K 2,3",0,K&K 4,0,K&K 6,8,"A.P F 3,4",10,A.P F 5,43,80,26,5,31,111
222,44,"K&K 2,3,4,6",13,"K&K 2,3",15,K&K 4,15,K&K 6,1,"A.P F 3,4",15,A.P F 5,78,122,21,18,39,161
223,10,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,1,"A.P F 3,4",0,A.P F 5,2,12,6,5,11,23
224,43,"K&K 2,3,4,6",9,"K&K 2,3",11,K&K 4,15,K&K 6,7,"A.P F 3,4",15,A.P F 5,67,110,8,13,21,131
225,27,"K&K 2,3,4,6",5,"K&K 2,3",11,K&K 4,3,K&K 6,5,"A.P F 3,4",8,A.P F 5,39,66,14,5,19,85
226,24,"K&K 2,3,4,6",1,"K&K 2,3",15,K&K 4,12,K&K 6,0,"A.P F 3,4",11,A.P F 5,52,76,4,6,10,86
227,38,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,15,K&K 6,0,"A.P F 3,4",15,A.P F 5,80,118,36,19,55,173
228,33,"K&K 2,3,4,6",3,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,80,113,21,5,26,139
229,14,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,6,K&K 6,0,"A.P F 3,4",15,A.P F 5,48,62,11,2,13,75
230,6,"K&K 2,3,4,6",6,"K&K 2,3",11,K&K 4,15,K&K 6,15,"A.P F 3,4",0,A.P F 5,63,69,0,5,5,74
231,3,"K&K 2,3,4,6",0,"K&K 2,3",7,K&K 4,4,K&K 6,0,"A.P F 3,4",1,A.P F 5,16,19,5,0,5,24
232,34,"K&K 2,3,4,6",11,"K&K 2,3",15,K&K 4,11,K&K 6,1,"A.P F 3,4",15,A.P F 5,70,104,19,10,29,133
233,3,"K&K 2,3,4,6",8,"K&K 2,3",15,K&K 4,12,K&K 6,12,"A.P F 3,4",5,A.P F 5,63,66,11,0,11,77
234,28,"K&K 2,3,4,6",4,"K&K 2,3",14,K&K 4,5,K&K 6,14,"A.P F 3,4",8,A.P F 5,54,82,9,2,11,93
235,29,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,2,K&K 6,3,"A.P F 3,4",8,A.P F 5,18,47,11,4,15,62
236,6,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,10,K&K 6,0,"A.P F 3,4",14,A.P F 5,52,58,0,3,3,61
237,23,"K&K 2,3,4,6",0,"K&K 2,3",1,K&K 4,4,K&K 6,5,"A.P F 3,4",1,A.P F 5,15,38,13,11,24,62
238,62,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",13,A.P F 5,80,142,25,10,35,177
239,4,"K&K 2,3,4,6",2,"K&K 2,3",6,K&K 4,4,K&K 6,0,"A.P F 3,4",0,A.P F 5,16,20,11,5,16,36
240,34,"K&K 2,3,4,6",11,"K&K 2,3",15,K&K 4,0,K&K 6,15,"A.P F 3,4",15,A.P F 5,75,109,21,13,34,143
241,63,"K&K 2,3,4,6",12,"K&K 2,3",13,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,78,141,35,33,68,209
242,24,"K&K 2,3,4,6",5,"K&K 2,3",12,K&K 4,11,K&K 6,6,"A.P F 3,4",3,A.P F 5,46,70,26,25,51,121
243,30,"K&K 2,3,4,6",7,"K&K 2,3",3,K&K 4,15,K&K 6,13,"A.P F 3,4",11,A.P F 5,62,92,15,16,31,123
244,56,"K&K 2,3,4,6",5,"K&K 2,3",15,K&K 4,10,K&K 6,12,"A.P F 3,4",14,A.P F 5,68,124,11,21,32,156
245,14,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,6,K&K 6,0,"A.P F 3,4",13,A.P F 5,46,60,8,1,9,69
246,9,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,0,K&K 6,4,"A.P F 3,4",15,A.P F 5,46,55,13,0,13,68
247,2,"K&K 2,3,4,6",1,"K&K 2,3",1,K&K 4,15,K&K 6,0,"A.P F 3,4",0,A.P F 5,23,25,3,3,6,31
248,40,"K&K 2,3,4,6",11,"K&K 2,3",15,K&K 4,5,K&K 6,15,"A.P F 3,4",15,A.P F 5,75,115,14,14,28,143
249,3,"K&K 2,3,4,6",0,"K&K 2,3",2,K&K 4,2,K&K 6,0,"A.P F 3,4",4,A.P F 5,11,14,3,4,7,21
250,78,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,80,158,30,20,50,208
251,35,"K&K 2,3,4,6",3,"K&K 2,3",15,K&K 4,10,K&K 6,12,"A.P F 3,4",3,A.P F 5,54,89,15,7,22,111
252,7,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",8,A.P F 5,11,18,5,0,5,23
253,16,"K&K 2,3,4,6",5,"K&K 2,3",6,K&K 4,6,K&K 6,1,"A.P F 3,4",12,A.P F 5,39,55,12,11,23,78
254,19,"K&K 2,3,4,6",4,"K&K 2,3",5,K&K 4,10,K&K 6,4,"A.P F 3,4",12,A.P F 5,42,61,19,7,26,87
255,65,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,2,K&K 6,15,"A.P F 3,4",13,A.P F 5,78,143,42,7,49,192
256,2,"K&K 2,3,4,6",1,"K&K 2,3",7,K&K 4,1,K&K 6,2,"A.P F 3,4",8,A.P F 5,24,26,6,0,6,32
257,36,"K&K 2,3,4,6",14,"K&K 2,3",5,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,79,115,29,18,47,162
258,0,"K&K 2,3,4,6",0,"K&K 2,3",1,K&K 4,2,K&K 6,1,"A.P F 3,4",1,A.P F 5,7,7,0,3,3,10
259,14,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,0,14,3,2,5,19
260,52,"K&K 2,3,4,6",14,"K&K 2,3",15,K&K 4,0,K&K 6,0,"A.P F 3,4",10,A.P F 5,52,104,12,10,22,126
261,14,"K&K 2,3,4,6",0,"K&K 2,3",5,K&K 4,2,K&K 6,0,"A.P F 3,4",10,A.P F 5,23,37,16,5,21,58
262,48,"K&K 2,3,4,6",3,"K&K 2,3",8,K&K 4,0,K&K 6,3,"A.P F 3,4",15,A.P F 5,39,87,9,9,18,105
263,6,"K&K 2,3,4,6",8,"K&K 2,3",0,K&K 4,12,K&K 6,4,"A.P F 3,4",5,A.P F 5,39,45,14,13,27,72
264,42,"K&K 2,3,4,6",14,"K&K 2,3",15,K&K 4,2,K&K 6,4,"A.P F 3,4",15,A.P F 5,64,106,18,8,26,132
265,29,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,15,K&K 6,1,"A.P F 3,4",15,A.P F 5,62,91,19,10,29,120
266,80,"K&K 2,3,4,6",15,"K&K 2,3",2,K&K 4,10,K&K 6,15,"A.P F 3,4",9,A.P F 5,66,146,29,18,47,193
267,17,"K&K 2,3,4,6",1,"K&K 2,3",10,K&K 4,9,K&K 6,0,"A.P F 3,4",3,A.P F 5,31,48,3,3,6,54
268,38,"K&K 2,3,4,6",11,"K&K 2,3",0,K&K 4,0,K&K 6,1,"A.P F 3,4",0,A.P F 5,16,54,14,1,15,69
269,43,"K&K 2,3,4,6",4,"K&K 2,3",0,K&K 4,6,K&K 6,0,"A.P F 3,4",15,A.P F 5,34,77,15,8,23,100
270,31,"K&K 2,3,4,6",4,"K&K 2,3",7,K&K 4,0,K&K 6,0,"A.P F 3,4",6,A.P F 5,23,54,6,2,8,62
271,22,"K&K 2,3,4,6",1,"K&K 2,3",0,K&K 4,9,K&K 6,0,"A.P F 3,4",2,A.P F 5,16,38,0,0,0,38
272,48,"K&K 2,3,4,6",11,"K&K 2,3",13,K&K 4,8,K&K 6,4,"A.P F 3,4",0,A.P F 5,48,96,15,6,21,117
273,5,"K&K 2,3,4,6",1,"K&K 2,3",1,K&K 4,1,K&K 6,1,"A.P F 3,4",0,A.P F 5,6,11,3,0,3,14
274,43,"K&K 2,3,4,6",2,"K&K 2,3",3,K&K 4,4,K&K 6,10,"A.P F 3,4",8,A.P F 5,34,77,3,6,9,86
275,5,"K&K 2,3,4,6",10,"K&K 2,3",7,K&K 4,12,K&K 6,0,"A.P F 3,4",7,A.P F 5,48,53,2,0,2,55
276,48,"K&K 2,3,4,6",0,"K&K 2,3",13,K&K 4,15,K&K 6,5,"A.P F 3,4",4,A.P F 5,50,98,17,20,37,135
277,16,"K&K 2,3,4,6",14,"K&K 2,3",15,K&K 4,15,K&K 6,4,"A.P F 3,4",12,A.P F 5,75,91,18,12,30,121
278,49,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,5,K&K 6,11,"A.P F 3,4",15,A.P F 5,62,111,25,11,36,147
279,55,"K&K 2,3,4,6",13,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",11,A.P F 5,78,133,36,11,47,180
280,5,"K&K 2,3,4,6",0,"K&K 2,3",4,K&K 4,0,K&K 6,1,"A.P F 3,4",0,A.P F 5,7,12,0,3,3,15
281,39,"K&K 2,3,4,6",8,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,80,119,15,32,47,166
282,66,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,15,K&K 6,11,"A.P F 3,4",15,A.P F 5,75,141,24,6,30,171
283,26,"K&K 2,3,4,6",1,"K&K 2,3",10,K&K 4,15,K&K 6,1,"A.P F 3,4",12,A.P F 5,51,77,22,10,32,109
284,29,"K&K 2,3,4,6",13,"K&K 2,3",15,K&K 4,12,K&K 6,7,"A.P F 3,4",11,A.P F 5,68,97,8,3,11,108
285,29,"K&K 2,3,4,6",9,"K&K 2,3",12,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,28,57,2,0,2,59
286,8,"K&K 2,3,4,6",7,"K&K 2,3",8,K&K 4,2,K&K 6,2,"A.P F 3,4",0,A.P F 5,26,34,4,2,6,40
287,2,"K&K 2,3,4,6",0,"K&K 2,3",2,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,3,5,3,0,3,8
288,28,"K&K 2,3,4,6",14,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",0,A.P F 5,79,107,10,7,17,124
289,53,"K&K 2,3,4,6",7,"K&K 2,3",11,K&K 4,2,K&K 6,13,"A.P F 3,4",11,A.P F 5,56,109,16,9,25,134
290,47,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,9,K&K 6,2,"A.P F 3,4",8,A.P F 5,46,93,11,19,30,123
291,19,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,15,K&K 6,13,"A.P F 3,4",14,A.P F 5,76,95,17,14,31,126
292,1,"K&K 2,3,4,6",0,"K&K 2,3",6,K&K 4,12,K&K 6,9,"A.P F 3,4",6,A.P F 5,44,45,3,5,8,53
293,52,"K&K 2,3,4,6",3,"K&K 2,3",10,K&K 4,15,K&K 6,10,"A.P F 3,4",1,A.P F 5,51,103,14,8,22,125
294,33,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,0,33,11,0,11,44
295,5,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,0,5,2,0,2,7
296,47,"K&K 2,3,4,6",11,"K&K 2,3",9,K&K 4,3,K&K 6,4,"A.P F 3,4",2,A.P F 5,35,82,16,8,24,106
297,54,"K&K 2,3,4,6",13,"K&K 2,3",15,K&K 4,11,K&K 6,10,"A.P F 3,4",15,A.P F 5,72,126,23,17,40,166
298,23,"K&K 2,3,4,6",2,"K&K 2,3",11,K&K 4,9,K&K 6,1,"A.P F 3,4",15,A.P F 5,50,73,12,10,22,95
299,11,"K&K 2,3,4,6",9,"K&K 2,3",15,K&K 4,10,K&K 6,8,"A.P F 3,4",5,A.P F 5,56,67,13,9,22,89
300,48,"K&K 2,3,4,6",13,"K&K 2,3",13,K&K 4,5,K&K 6,13,"A.P F 3,4",6,A.P F 5,60,108,18,4,22,130
301,81,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,15,K&K 6,0,"A.P F 3,4",6,A.P F 5,48,129,9,15,24,153
302,5,"K&K 2,3,4,6",6,"K&K 2,3",8,K&K 4,5,K&K 6,15,"A.P F 3,4",15,A.P F 5,59,64,2,5,7,71
303,69,"K&K 2,3,4,6",4,"K&K 2,3",15,K&K 4,2,K&K 6,14,"A.P F 3,4",10,A.P F 5,58,127,26,19,45,172
304,7,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",12,A.P F 5,80,87,6,0,6,93
305,44,"K&K 2,3,4,6",0,"K&K 2,3",6,K&K 4,3,K&K 6,15,"A.P F 3,4",15,A.P F 5,52,96,12,11,23,119
306,33,"K&K 2,3,4,6",11,"K&K 2,3",14,K&K 4,10,K&K 6,0,"A.P F 3,4",5,A.P F 5,54,87,8,3,11,98
307,4,"K&K 2,3,4,6",0,"K&K 2,3",6,K&K 4,0,K&K 6,11,"A.P F 3,4",5,A.P F 5,30,34,4,3,7,41
308,9,"K&K 2,3,4,6",14,"K&K 2,3",3,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,79,88,8,3,11,99
309,10,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,2,K&K 6,4,"A.P F 3,4",10,A.P F 5,42,52,2,4,6,58
310,39,"K&K 2,3,4,6",1,"K&K 2,3",15,K&K 4,5,K&K 6,1,"A.P F 3,4",13,A.P F 5,46,85,8,12,20,105
311,11,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,0,K&K 6,14,"A.P F 3,4",13,A.P F 5,56,67,5,1,6,73
312,20,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,15,K&K 6,6,"A.P F 3,4",14,A.P F 5,67,87,27,7,34,121
313,1,"K&K 2,3,4,6",0,"K&K 2,3",11,K&K 4,4,K&K 6,0,"A.P F 3,4",11,A.P F 5,35,36,3,3,6,42
314,3,"K&K 2,3,4,6",0,"K&K 2,3",8,K&K 4,15,K&K 6,0,"A.P F 3,4",0,A.P F 5,31,34,0,0,0,34
315,49,"K&K 2,3,4,6",13,"K&K 2,3",10,K&K 4,0,K&K 6,6,"A.P F 3,4",12,A.P F 5,55,104,12,17,29,133
316,26,"K&K 2,3,4,6",0,"K&K 2,3",12,K&K 4,15,K&K 6,4,"A.P F 3,4",12,A.P F 5,58,84,9,18,27,111
317,93,"K&K 2,3,4,6",14,"K&K 2,3",15,K&K 4,15,K&K 6,0,"A.P F 3,4",8,A.P F 5,70,163,13,10,23,186
318,4,"K&K 2,3,4,6",5,"K&K 2,3",7,K&K 4,0,K&K 6,1,"A.P F 3,4",6,A.P F 5,26,30,0,3,3,33
319,73,"K&K 2,3,4,6",9,"K&K 2,3",14,K&K 4,15,K&K 6,8,"A.P F 3,4",11,A.P F 5,66,139,16,9,25,164
320,34,"K&K 2,3,4,6",3,"K&K 2,3",15,K&K 4,0,K&K 6,15,"A.P F 3,4",13,A.P F 5,62,96,12,6,18,114
321,25,"K&K 2,3,4,6",0,"K&K 2,3",2,K&K 4,0,K&K 6,7,"A.P F 3,4",0,A.P F 5,12,37,12,7,19,56
322,30,"K&K 2,3,4,6",14,"K&K 2,3",15,K&K 4,14,K&K 6,15,"A.P F 3,4",0,A.P F 5,78,108,18,7,25,133
323,72,"K&K 2,3,4,6",14,"K&K 2,3",14,K&K 4,14,K&K 6,1,"A.P F 3,4",15,A.P F 5,76,148,14,13,27,175
324,27,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,7,K&K 6,0,"A.P F 3,4",15,A.P F 5,70,97,19,7,26,123
325,61,"K&K 2,3,4,6",9,"K&K 2,3",11,K&K 4,15,K&K 6,15,"A.P F 3,4",0,A.P F 5,67,128,24,12,36,164
326,29,"K&K 2,3,4,6",13,"K&K 2,3",0,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,78,107,11,2,13,120
327,27,"K&K 2,3,4,6",1,"K&K 2,3",15,K&K 4,6,K&K 6,1,"A.P F 3,4",13,A.P F 5,47,74,8,5,13,87
328,24,"K&K 2,3,4,6",5,"K&K 2,3",12,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,76,100,12,11,23,123
329,0,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",7,A.P F 5,10,10,0,0,0,10
330,18,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,8,K&K 6,12,"A.P F 3,4",13,A.P F 5,74,92,13,4,17,109
331,0,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,0,0,0,0,0,0
332,39,"K&K 2,3,4,6",9,"K&K 2,3",15,K&K 4,5,K&K 6,8,"A.P F 3,4",8,A.P F 5,54,93,9,16,25,118
333,15,"K&K 2,3,4,6",5,"K&K 2,3",10,K&K 4,15,K&K 6,4,"A.P F 3,4",15,A.P F 5,60,75,6,3,9,84
334,44,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,1,K&K 6,15,"A.P F 3,4",8,A.P F 5,71,115,10,16,26,141
335,24,"K&K 2,3,4,6",15,"K&K 2,3",11,K&K 4,5,K&K 6,6,"A.P F 3,4",0,A.P F 5,49,73,15,14,29,102
336,5,"K&K 2,3,4,6",3,"K&K 2,3",9,K&K 4,5,K&K 6,2,"A.P F 3,4",15,A.P F 5,43,48,3,3,6,54
337,17,"K&K 2,3,4,6",2,"K&K 2,3",9,K&K 4,1,K&K 6,4,"A.P F 3,4",5,A.P F 5,27,44,12,3,15,59
338,23,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,80,103,14,6,20,123
339,56,"K&K 2,3,4,6",14,"K&K 2,3",15,K&K 4,12,K&K 6,15,"A.P F 3,4",15,A.P F 5,79,135,29,29,58,193
340,18,"K&K 2,3,4,6",1,"K&K 2,3",6,K&K 4,6,K&K 6,3,"A.P F 3,4",7,A.P F 5,30,48,0,2,2,50
341,16,"K&K 2,3,4,6",2,"K&K 2,3",1,K&K 4,5,K&K 6,5,"A.P F 3,4",14,A.P F 5,35,51,3,9,12,63
342,46,"K&K 2,3,4,6",13,"K&K 2,3",15,K&K 4,9,K&K 6,7,"A.P F 3,4",4,A.P F 5,59,105,9,21,30,135
343,9,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",2,A.P F 5,3,12,8,1,9,21
344,23,"K&K 2,3,4,6",0,"K&K 2,3",2,K&K 4,4,K&K 6,2,"A.P F 3,4",,A.P F 5,11,34,5,3,8,42
345,26,"K&K 2,3,4,6",6,"K&K 2,3",15,K&K 4,15,K&K 6,14,"A.P F 3,4",15,A.P F 5,79,105,14,11,25,130
346,5,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,2,K&K 6,0,"A.P F 3,4",1,A.P F 5,4,9,3,1,4,13
347,24,"K&K 2,3,4,6",3,"K&K 2,3",10,K&K 4,15,K&K 6,13,"A.P F 3,4",3,A.P F 5,55,79,19,14,33,112
348,38,"K&K 2,3,4,6",10,"K&K 2,3",11,K&K 4,7,K&K 6,4,"A.P F 3,4",11,A.P F 5,52,90,6,7,13,103
349,13,"K&K 2,3,4,6",5,"K&K 2,3",15,K&K 4,12,K&K 6,4,"A.P F 3,4",9,A.P F 5,55,68,5,6,11,79
350,34,"K&K 2,3,4,6",10,"K&K 2,3",13,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,78,112,21,12,33,145
351,24,"K&K 2,3,4,6",7,"K&K 2,3",14,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,79,103,2,4,6,109
352,3,"K&K 2,3,4,6",6,"K&K 2,3",6,K&K 4,1,K&K 6,1,"A.P F 3,4",2,A.P F 5,20,23,0,0,0,23
353,98,"K&K 2,3,4,6",10,"K&K 2,3",15,K&K 4,4,K&K 6,4,"A.P F 3,4",11,A.P F 5,54,152,28,38,66,218
354,79,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",0,A.P F 5,80,159,32,32,64,223
